Google Search Results for Data Science Skills and Skill Name,,
https://www.google.com/?gws_rd=ssl#q=data+science+skills,,
skill_type_name,skill_name,rating
communication,ai  law,7
business,analysis,10
math,analytics,11
programming,big data,42
programming,cloud,2
business,creativity,3
programming,data engineering,4
programming,data mining,3
programming,data natives,8
programming,devops,2
business,entrepreneurship,2
programming,fintech,2
programming,galaxql,2
business,government,3
programming,Hadoop,12
business,information,9
programming,IOS,2
programming,Java,2
programming,machine learning,15
business,manufacturing,2
programming,MATLAB,2
visualization,media,6
programming,mobile development,2
NA,NA,56
programming,network,2
programming,NOSQL,5
math,pattern discovery,2
business,policy,3
programming,Python,7
programming,r,7
business,retail,2
programming,RSS,2
programming,Ruby,2
programming,SAS,2
business,security and risk strategy,2
programming,SQL,6
programming,storage,2
programming,tableau,2
programming,web development,2
