Valued Skills 2010,,
www.skills2010.com,,
skill_type_name,skill_name,rating
Female,Alyssa,20
Female,Hailey,19
Female,Grace,18
Female,Lily,17
Female,Alexis,16
Female,Samantha,15
Female,Natalie,14
Female,Ella,13
Female,Elizabeth,12
Male,Mason,12
Female,Addison,11
Male,Joshua,11
Female,Mia,10
Male,Anthony,10
Female,Chloe,9
Male,Aiden,9
Female,Madison,8
Male,Daniel,8
Female,Abigail,7
Male,Noah,7
Female,Emily,6
Male,Alexander,6
Female,Ava,5
Male,William,5
Female,Olivia,4
Male,Jayden,4
Female,Emma,3
Male,Michael,3
Female,Sophia,2
Male,Ethan,2
Female,Isabella,1
Male,Jacob,1
